```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership"
"BancSouth Corporation","Dothan","2014","Noel M Dowling Family Trust","n/a","9380","27.96%"
"BancSouth Corporation","Dothan","2014","Noel M Dowling Family Trust","n/a","9380","27.96%"
"BancSouth Corporation","Dothan","2014","N. Mitchell Dowling,"Jr."","n/a","8690","25.90%"
"BancSouth Corporation","Mooresville","2014","George Laurence McCrary,"III"","n/a","2700","8.05%"
"BancSouth Corporation","Mooresville","2014","Margaret Ann McCrary Crumlish","n/a","1700","5.07%"
"BancSouth Corporation","n/a","2014","12 other shareholders","n/a","1700","5.06%"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year"
"BancSouth Corporation","Chairman and Director","N. Mitchell Dowling,"Jr."","27450","BancSouth Corporation","2014"
"BancSouth Corporation","Cashier,"Chairman and Director"","N. Mitchell Dowling,"Jr."","n/a","BankSouth","2014"
"BancSouth Corporation","None","N. Mitchell Dowling,"Jr."","n/a","None","2014"
"BancSouth Corporation","President and Director","Kevin R. Kirkland","20 shares (0.06%)","BancSouth Corporation","2014"
"BancSouth Corporation","Executive Vice President,"Chief Financial Officer","Director"","Kevin R. Kirkland","n/a","BankSouth","2014"
"BancSouth Corporation","None","Kevin R. Kirkland","n/a","None","2014"
"BancSouth Corporation","Secretary","Robert W. Bass,"Jr."","20 shares (0.06%)","BancSouth Corporation","2014"
"BancSouth Corporation","Chief Executive Officer,"Director"","Robert W. Bass,"Jr."","n/a","BankSouth","2014"
"BancSouth Corporation","None","Robert W. Bass,"Jr."","n/a","None","2014"
"BancSouth Corporation","Director","George Laurence McCrary,"III"","2700 shares (8.05%)","BancSouth Corporation","2014"
"BancSouth Corporation","Director","George Laurence McCrary,"III"","n/a","BankSouth","2014"
"BancSouth Corporation","None","George Laurence McCrary,"III"","n/a","None","2014"
```
