```csv
SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Tennessee Community Bank Holdings,"Inc."","Kingston Springs,"TN"","2016","James or Vickie Dillingham","n/a","36832","3.561%","n/a"
"Tennessee Community Bank Holdings,"Inc."","Kingston Springs,"TN"","2016","Dillingham Foundation","n/a","25520","2.468%","n/a"
```
```csv
INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Tennessee Community Bank Holdings,"Inc."","Director","Samuel Balthrop","Retired Attorney","n/a","2016","Attorney","n/a"
"Tennessee Community Bank Holdings,"Inc."","Director","Shayne Bell","Director","n/a","2016","Banking","n/a"
"Tennessee Community Bank Holdings,"Inc."","Director","James Dillingham","Director","L & J Ventures","2016","Contractor Property Leasing","n/a"
"Tennessee Community Bank Holdings,"Inc."","Director","James Dillingham","Director","2450 MG Partners","2016","Contractor Property Leasing","n/a"
"Tennessee Community Bank Holdings,"Inc."","Director","David Gunn","Director","Gunn Farms","2016","Farming","n/a"
"Tennessee Community Bank Holdings,"Inc."","Director","Johnnie Marlin","President","n/a","2016","Banking","n/a"
"Tennessee Community Bank Holdings,"Inc."","Director","Morgan Stanley FBO Johnnie Marlin","Director","n/a","2016","Banking","n/a"
"Tennessee Community Bank Holdings,"Inc."","Director","Johnny Melton","Director","Dixieland Co","2016","Real Estate Investment","n/a"
"Tennessee Community Bank Holdings,"Inc."","Director","Johnny Melton","Secretary/Treasurer","Radiation Billing So","2016","Real Estate Investment","n/a"
"Tennessee Community Bank Holdings,"Inc."","Director","Johnny Melton","Partner","Demonbreun & Melton","2016","Real Estate Investment","n/a"
"Tennessee Community Bank Holdings,"Inc."","Director","Johnny Melton","Partner","Wilkinson & Melton","2016","Real Estate Investment","n/a"
"Tennessee Community Bank Holdings,"Inc."","Director","Johnny Melton","Partner","Melton & Moore","2016","Real Estate Investment","n/a"
"Tennessee Community Bank Holdings,"Inc."","Director","Johnny Melton","Secretary/Treasurer","Miller Oil & Gas","2016","Real Estate Investment","n/a"
"Tennessee Community Bank Holdings,"Inc."","Director","Johnny Melton","Secretary/Treasurer","Aulidge/Melton","2016","Real Estate Investment","n/a"
"Tennessee Community Bank Holdings,"Inc."","Director","Johnny Melton","Secretary/Treasurer","C & L Broadcasting","2016","Real Estate Investment","n/a"
"Tennessee Community Bank Holdings,"Inc."","Director","Richard Murray","Director","n/a","2016","Retired Owner Harpeth Clock Co.","n/a"
"Tennessee Community Bank Holdings,"Inc."","Director","Darwin Newton","Director","n/a","2016","Soil Conservation & Engineering","n/a"
"Tennessee Community Bank Holdings,"Inc."","President","Darwin Newton","President","Soil Search of TN","2016","Soil Conservation & Engineering","n/a"
"Tennessee Community Bank Holdings,"Inc."","Director","Daniel Reigle","Director","n/a","2016","Contractor","n/a"
"Tennessee Community Bank Holdings,"Inc."","Secretary","J. Thomas Perry","Retired","n/a","2016","Retired","n/a"
"Tennessee Community Bank Holdings,"Inc."","Director","Doris Sanders","Director","n/a","2016","Retired from County Govt.","n/a"
"Tennessee Community Bank Holdings,"Inc."","President/CEO","Debbie C. Small","Director","DS Consulting","2016","Banking","n/a"
"Tennessee Community Bank Holdings,"Inc."","Director","Evie Somers","Director","n/a","2016","Retired Attorney","n/a"
"Tennessee Community Bank Holdings,"Inc."","Director","Evie Somers","Owner","ELS Maryland LLC","2016","Retired Attorney","n/a"
"Tennessee Community Bank Holdings,"Inc."","Director","Evie Somers","Joint w/husband","ELKS LLC","2016","Retired Attorney","n/a"
"Tennessee Community Bank Holdings,"Inc."","Director","Evie Somers","Joint w/husband","Poplar Creek LLC","2016","Retired Attorney","n/a"
```
