```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"UNITED TENNESSEE BANKSHARES,"INC."","NEW YORK,"NY"","2019","CEDE & CO.","COMMON","351415","42%","n/a"
"UNITED TENNESSEE BANKSHARES,"INC."","DANDRIDGE,"TN"","2019","RICHARD HARWOOD","COMMON","97266","12%","n/a"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"UNITED TENNESSEE BANKSHARES,"INC."","DIRECTOR CHAIRMAN","J. WILLIAM MYERS","ATTORNEY","J. WILLIAM MYERS,"ATTORNEY"","2019","ATTORNEY","n/a"
"UNITED TENNESSEE BANKSHARES,"INC."","DIRECTOR","TOMMY C BIBLE","GENERAL MANAGER","JEFFERSON COCKE GAS UTILITY","2019","GENERAL MANAGER","n/a"
"UNITED TENNESSEE BANKSHARES,"INC."","DIRECTOR","BEN HOOPER III","ATTORNEY","CAMPBELL & HOOPER","2019","ATTORNEY","n/a"
"UNITED TENNESSEE BANKSHARES,"INC."","DIRECTOR","TOM INMAN","MANAGER","FARM BUREAU - NEWPORT","2019","MANAGER","n/a"
"UNITED TENNESSEE BANKSHARES,"INC."","DIRECTOR","ROBERT OVERHOLT","n/a","n/a","2019","n/a","n/a"
"UNITED TENNESSEE BANKSHARES,"INC."","DIRECTOR","RICHARD HARWOOD","n/a","n/a","2019","n/a","n/a"
"UNITED TENNESSEE BANKSHARES,"INC."","DIRECTOR","MITCHELL WEBB","OWNER","WILTON SPRINGS HARDWARE","2019","OWNER","n/a"
"UNITED TENNESSEE BANKSHARES,"INC."","DIRECTOR","CYNTHIA STINNETT","OWNER","STINNETT AUTOMOTIVE","2019","OWNER","n/a"
"UNITED TENNESSEE BANKSHARES,"INC."","DIRECTOR PRESIDENT/CEO","CHRIS TRIPLETT","n/a","n/a","2019","n/a","n/a"
"UNITED TENNESSEE BANKSHARES,"INC."","SENIOR VICE PRESIDENT","LONNIE JONES","n/a","n/a","2019","n/a","n/a"
"UNITED TENNESSEE BANKSHARES,"INC."","SENIOR VICE PRESIDENT","THOMAS RUSH","n/a","n/a","2019","n/a","n/a"
"UNITED TENNESSEE BANKSHARES,"INC."","n/a","CEDE & CO.","n/a","n/a","2019","CLEARING HOUSE SHARES HELD IN STREET NAME","n/a"
```
