```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Peoples Bankshares,"Inc."","Eatonton,"Georgia"","2020","Amelia W. Haley","Common Stock","209851","9.63","n/a"
"Peoples Bankshares,"Inc."","Carrolton,"GA"","2020","Ken Barber","Common Stock","250000","14.47","n/a"
"Peoples Bankshares,"Inc."","Atlanta,"GA"","2020","Eric L. Johnson","Common Stock","150000","6.88","n/a"
"Peoples Bankshares,"Inc."","Eatonton,"GA"","2020","Amelia A. Wilson","Common Stock","267800","12.28","n/a"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Peoples Bankshares,"Inc."","Director and Chairman","Ken Barber","Director and Chairman","n/a","2020","The Peoples Bank"
"Peoples Bankshares,"Inc."","Director/and/CEO Secretary","Gregary L. Lee","CEO","n/a","2020","The Peoples Bank"
"Peoples Bankshares,"Inc."","Director","Eric L. Johnson","CEO","n/a","2020","ESOP Administrator"
"Peoples Bankshares,"Inc."","Director","Johnny Blankenship","n/a","n/a","2020","Developer/Builder"
"Peoples Bankshares,"Inc."","Director/President","Charles R. Haley","n/a","n/a","2020","The Peoples Bank"
"Peoples Bankshares,"Inc."","Director","Jeff D. Couey","CEO","Paulding Skating Center","2020","Roller Skating Rink Owner"
"Peoples Bankshares,"Inc."","Director","Jeff D. Couey","CEO","Skating Clubs of N/America","2020","Roller Skating Rink Owner"
"Peoples Bankshares,"Inc."","Director","Jeff D. Couey","CEO","All Skate Hunting Properties & Supplies","2020","Roller Skating Rink Owner"
"Peoples Bankshares,"Inc."","Director","Jeff D. Couey","CEO","Couey Real Estate Investmnt","2020","Roller Skating Rink Owner"
"Peoples Bankshares,"Inc."","Director","P. David Orr","Director","Orr & Associates","2020","CPA"
"Peoples Bankshares,"Inc."","Director","Douglas C. Davidson","n/a","NSC Investments","2020","Commercial General Contractor"
"Peoples Bankshares,"Inc."","Director","Douglas C. Davidson","n/a","Seven Oaks Cattle Company","2020","Commercial General Contractor"
"Peoples Bankshares,"Inc."","Director","Douglas C. Davidson","n/a","Regatta Marine & Storage","2020","Commercial General Contractor"
"Peoples Bankshares,"Inc."","Director","Douglas C. Davidson","n/a","Prime Real Estate","2020","Commercial General Contractor"
"Peoples Bankshares,"Inc."","Director/ Exec. V.P.","Steve W. Culberson","n/a","n/a","2020","The Peoples Bank"
"Peoples Bankshares,"Inc."","Director","Randall F. Daniel","Director","Owner,"Daniel Development Inc"","2020","Contractor/Builder"
"Peoples Bankshares,"Inc."","Chief Financial Officer","Steven J. Haack","Chief Financial Officer","n/a","2020","n/a"
"Peoples Bankshares,"Inc."","n/a","Amelia Haley","n/a","n/a","2020","Homemaker"
```
