```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Financial Corporation of Louisiana","Lafayette,"LA"","2023","Eric Movassaghi","EVP & CFO","n/a","n/a","Banker"
"Financial Corporation of Louisiana","Crowley,"LA"","2023","William A. Dore'","VP Sales","n/a","n/a","Investments"
"Financial Corporation of Louisiana","Crowley,"LA"","2023","Russell Freeland,"Sr."","Pres. & General Manager","n/a","LA Irrigation & Mill","2023","Director"
"Financial Corporation of Louisiana","Crowley,"LA"","2023","Russell Freeland,"Sr."","Pres. & General Manager","n/a","1st Nat'l Farms","2023","Director"
"Financial Corporation of Louisiana","Crowley,"LA"","2023","Greg A. Jones","Vice President","n/a","Kalem LLC","2023","Retired; Oil & Gas Investments"
"Financial Corporation of Louisiana","Broussard,"LA"","2023","John Randall Prather","Director,"Chairman"","Member","Prather Brothers LLC","2023","Banker"
"Financial Corporation of Louisiana","Lake Charles,"LA"","2023","Randall Roach","Secretary","n/a","Kimira Properties","2023","Attorney"
"Financial Corporation of Louisiana","Crowley,"LA"","2023","Peter M. John","President","n/a","LA Bag","2023","Director"
"Financial Corporation of Louisiana","Crowley,"LA"","2023","Peter M. John","VP","n/a","LAPAC Manuf.","2023","Director"
"Financial Corporation of Louisiana","Lafayette,"LA"","2023","Christopher Arsement","Director,"Chairman of the Board"","Partner","Arsement,"Redd & Morella"","2023","Accountant"
"Financial Corporation of Louisiana","Rayne,"LA"","2023","James M. Cunningham,"III"","Director","n/a","n/a","2023","Attorney"
"Financial Corporation of Louisiana","Rayne,"LA"","2023","Lawrence J. Prevost","Director,"Vice President","CFO"","Small Owner","Signal Investment LLC","2023","Banker"
"Financial Corporation of Louisiana","Carencro,"LA"","2023","Thomas Tucker Johnston","Director","Partner","MLBJ,"LLC"","2023","Retired (State of La-Dept. Corrections)"
"Financial Corporation of Louisiana","Lafayette,"LA"","2023","William Taylor,"Jr"","Director,"CEO & President"","Director","Louisiana Capital CDC","2023","Banker"
"Financial Corporation of Louisiana","Rayne,"LA"","2023","Fred J. Gossen","Director","Partner","Fred J. Gossen Co","2023","Real Estate Appraiser"
"Financial Corporation of Louisiana","Rayne,"LA"","2023","Fred J. Gossen","Director","Owner","Henry Gossen,"Inc."","2023","Real Estate Appraiser"
"Financial Corporation of Louisiana","Rayne,"LA"","2023","Fred J. Gossen","Director","Partner","Gossen and Ware,"LLC"","2023","Real Estate Appraiser"
"Financial Corporation of Louisiana","Rayne,"LA"","2023","Fred J. Gossen","Director","Partner","ALC Real Estate","2023","Real Estate Appraiser"
"Financial Corporation of Louisiana","Rayne,"LA"","2023","Fred J. Gossen","Director","Owner","FJG Properties,"Inc."","2023","Real Estate Appraiser"
"Financial Corporation of Louisiana","Rayne,"LA"","2023","Fred J. Gossen","Director","Partner","Gossen Ware Gossen Properties","2023","Real Estate Appraiser"
"Financial Corporation of Louisiana","Rayne,"LA"","2023","Fred J. Gossen","Director","Part Owner","Affiliated Medical Supplies,"Inc."","2023","Real Estate Appraiser"
"Financial Corporation of Louisiana","Rayne,"LA"","2023","Fred J. Gossen","Director","Owner","FJG,"Sr. Partners","Inc."","2023","Real Estate Appraiser"
"Financial Corporation of Louisiana","Rayne,"LA"","2023","Fred J. Gossen","Director","Partner","F. Gossen & A. Gossen,"Ltd. Partnership"","2023","Real Estate Appraiser"
"Financial Corporation of Louisiana","Rayne,"LA"","2023","Yvonne D. Menard","Secretary","Member","Martha Hanks Dupuis LLC & M.H.Dupuis Farms,"LLC"","2023","Banker"
"Financial Corporation of Louisiana","Crowley,"LA"","2023","Financial Corporation of LA","n/a","n/a","n/a","2023","ESOP"
```
