```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership"
"ABB Financial Group,"Inc."","Arlington","2018","Kenneth R. Lehman","Common","2571250","46.94%"
"ABB Financial Group,"Inc."","Atlanta","2018","Serguei Kouzmine","Common","392500","7.17%"
"ABB Financial Group,"Inc."","Atlanta","2018","Serguei Kouzmine","Preferred","5891","100.00%"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year"
"ABB Financial Group,"Inc."","Director","Kenneth R. Lehman","Director","BVC Capital,"LLC"","2018"
"ABB Financial Group,"Inc."","President/Director","Edward J. Cooney","President/Director","n/a","2018"
"ABB Financial Group,"Inc."","Director","Leeman Bennett","Director","n/a","2018"
"ABB Financial Group,"Inc."","n/a","Frank A. Clayton,"DDS."","Director","Clayton Dental,"PC"","2018"
"ABB Financial Group,"Inc."","CFO","Brandi Pajot","SVP/CFO","n/a","2018"
"ABB Financial Group,"Inc."","President","Jeffrey R. Lake","Director","Dixie Electric Company","2018"
"ABB Financial Group,"Inc."","Chairman","Robert C. McMahan","Chairman","n/a","2018"
"ABB Financial Group,"Inc."","Director","Wayne V. Mitsch","Director","n/a","2018"
"ABB Financial Group,"Inc."","EVP/CCO","Clark N. Nelson,"Jr"","EVP/CCO","n/a","2018"
```
