```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership"
"CITIZENS BANCORP OF WINFIELD,"INC."","Winfield","2016","Russell Carothers","Common Stock","1162","46%"
"CITIZENS BANCORP OF WINFIELD,"INC."","Winfield","2016","Robert L. Carothers","Common Stock","1030","40%"
"CITIZENS BANCORP OF WINFIELD,"INC."","Tuscaloosa","2016","William A. Hill,"Jr."","Common Stock","132","5%"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year"
"CITIZENS BANCORP OF WINFIELD,"INC."","Director,"Chairman & CEO"","Russell Carothers","Director,"Chairman","& CEO"","Citizens Bank","2016"
"CITIZENS BANCORP OF WINFIELD,"INC."","Director & Vice President","Robert L. Carothers","Director & Senior Vice President","Citizens Bank","2016"
"CITIZENS BANCORP OF WINFIELD,"INC."","Director,"Vice Chairman & President"","Christian Hill Carothers","Director,"Vice Chairman & President"","Citizens Bank","2016"
"CITIZENS BANCORP OF WINFIELD,"INC."","Director","M. L. Hamric","Director","Citizens Bank","2016"
"CITIZENS BANCORP OF WINFIELD,"INC."","Director & Lead Director","Jimmy Dickinson","Director","Citizens Bank","2016"
"CITIZENS BANCORP OF WINFIELD,"INC."","Director","C. E. Bryant,"Jr."","Director","Citizens Bank","2016"
"CITIZENS BANCORP OF WINFIELD,"INC."","Director","Paul B Wilson","Director","Citizens Bank","2016"
"CITIZENS BANCORP OF WINFIELD,"INC."","Director","Raymond C Spann,"Jr."","Director","Citizens Bank","2016"
"CITIZENS BANCORP OF WINFIELD,"INC."","Director","William A Hill,"Jr."","Director","Citizens Bank","2016"
"CITIZENS BANCORP OF WINFIELD,"INC."","Director & Corporate Sec","Tamra P Trull","Director,"Senior Vice President","Cashier & Corporate Sec"","Citizens Bank","2016"
"CITIZENS BANCORP OF WINFIELD,"INC."","Director","John S Garner","Director","Citizens Bank","2016"
```
