```csv
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"UNITED TENNESSEE BANKSHARES,"INC."","NEW YORK,"NY"","2020","CEDE & CO.","COMMON","316745","37%","n/a"
"UNITED TENNESSEE BANKSHARES,"INC."","DANDRIDGE,"TN"","2020","RICHARD HARWOOD","COMMON","104513","12%","n/a"
"UNITED TENNESSEE BANKSHARES,"INC."","NEWPORT,"TN"","2020","J. WILLIAM MYERS","COMMON","39000","5%","n/a"
```
```csv
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"UNITED TENNESSEE BANKSHARES,"INC."","DIRECTOR CHAIRMAN","J. WILLIAM MYERS","OWNER","J. WILLIAM MYERS,"ATTORNEY"","2020","ATTORNEY","n/a"
"UNITED TENNESSEE BANKSHARES,"INC."","DIRECTOR","TOMMY C BIBLE","GENERAL MANAGER","JEFFERSON COCKE GAS UTILITY","2020","GENERAL MANAGER","n/a"
"UNITED TENNESSEE BANKSHARES,"INC."","DIRECTOR","BEN HOOPER III","ATTORNEY","CAMPBELL & HOOPER","2020","ATTORNEY","n/a"
"UNITED TENNESSEE BANKSHARES,"INC."","DIRECTOR","TOM INMAN","MANAGER","FARM BUREAU - NEWPORT","2020","MANAGER","n/a"
"UNITED TENNESSEE BANKSHARES,"INC."","DIRECTOR","ROBERT OVERHOLT","n/a","n/a","2020","n/a","n/a"
"UNITED TENNESSEE BANKSHARES,"INC."","DIRECTOR","RICHARD HARWOOD","n/a","n/a","2020","n/a","n/a"
"UNITED TENNESSEE BANKSHARES,"INC."","DIRECTOR","MITCHELL WEBB","OWNER","WILTON SPRINGS HARDWARE","2020","OWNER","n/a"
"UNITED TENNESSEE BANKSHARES,"INC."","DIRECTOR","CYNTHIA STINNETT","OWNER","STINNETT AUTOMOTIVE","2020","OWNER","n/a"
"UNITED TENNESSEE BANKSHARES,"INC."","DIRECTOR PRESIDENT/CEO","CHRIS TRIPLETT","n/a","n/a","2020","n/a","n/a"
"UNITED TENNESSEE BANKSHARES,"INC."","SENIOR VICE PRESIDENT","LONNIE JONES","n/a","n/a","2020","n/a","n/a"
"UNITED TENNESSEE BANKSHARES,"INC."","SENIOR VICE PRESIDENT","THOMAS RUSH","n/a","n/a","2020","n/a","n/a"
"UNITED TENNESSEE BANKSHARES,"INC."","n/a","CEDE & CO.","n/a","CLEARING HOUSE","2020","CLEARING HOUSE","n/a"
```
