Here are the requested CSV tables extracted from the document:
```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership"
"1st Jackson Bancshares,"Inc."","Hollywood","2015","Jimmy D. Blevins","n/a","15561","13.86%"
"1st Jackson Bancshares,"Inc."","Stevenson","2015","Shelby Carr","n/a","7498","6.68%"
"1st Jackson Bancshares,"Inc."","Bridgeport","2015","Charles Robert Holder","n/a","11681","10.41%"
"1st Jackson Bancshares,"Inc."","Scottsboro","2015","James S. McGinty","n/a","10497","9.35%"
"1st Jackson Bancshares,"Inc."","Monteagle","2015","Jim Myers","n/a","11891","10.59%"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year"
"First Jackson Bank","Chairman/Pres Director","Jimmy D. Blevins","President Director Chairman","n/a","2015"
"First Jackson Bank","Director","Shelby Carr","Director","Carr Farm-100%","2015"
"First Jackson Bank","Director","Billy Duck","Director","n/a","2015"
"First Jackson Bank","None","James S. McGinty","Director Emeritus","Dawson,"McGinty & Parker - owned by retirement trust"","2015"
"First Jackson Bank","Director/Vice Chairman","Jim Myers","Director/Vice Chairman","JimStan-50%","2015"
"First Jackson Bank","Director/Secretary","Pam M. Parker","Director/Secretary","Dawson,"McGinty & Parker-owned by retirement trust"","2015"
"First Jackson Bank","None","J. D. Shrader,"Jr."","Director Emeritus","n/a","2015"
"First Jackson Bank","None","Charles R. Holder","Principal Securities Holder","n/a","2015"
"First Jackson Bank","None","Jeremy Washburn","Vice President/CEO","n/a","2015"
```
