Here are the requested CSV tables extracted from the provided document:
```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Commercial Capital Corporation","DeKalb,"MS"","2015","T.R. Daws","n/a","18245","5.98%","n/a"
"Commercial Capital Corporation","Dekalb,"MS"","2015","Margaret S. Womble","n/a","19324","6.34%","n/a"
"Commercial Capital Corporation","Dekalb,"MS"","2015","James D. Spinks","n/a","20136","6.60%","n/a"
"Commercial Capital Corporation","Ranson Canyon,"TX"","2015","Louie P Spinks","n/a","15680","5.14%","n/a"
"Commercial Capital Corporation","Dekalb,"MS"","2015","William Clay","n/a","18725","6.14%","n/a"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Commercial Capital Corporation","Chairman","William Clay","Bank Board Chairman","n/a","2015","Operator of Clay Feeds","n/a"
"Commercial Capital Corporation","Chairman","William Clay","Owner","Clay Feeds","2015","Operator of Clay Feeds","n/a"
"Commercial Capital Corporation","Chairman","William Clay","Owner","B&C Farm Co.","2015","Operator of Clay Feeds","n/a"
"Commercial Capital Corporation","Chairman","William Clay","Owner","Ріпе Hill Company","2015","Operator of Clay Feeds","n/a"
"Commercial Capital Corporation","Chairman","William Clay","Owner","West Kemper Farm","2015","Operator of Clay Feeds","n/a"
"Commercial Capital Corporation","Chairman","William Clay","Owner","Oak Investment Company","2015","Operator of Clay Feeds","n/a"
"Commercial Capital Corporation","Chairman","William Clay","Owner","Hunters Ridge Subdivision","2015","Operator of Clay Feeds","n/a"
"Commercial Capital Corporation","Chairman","William Clay","Director","East Mississippi Electrical Power Assn","2015","Operator of Clay Feeds","n/a"
"Commercial Capital Corporation","Chairman","William Clay","Director","Meridian Stockyard","2015","Operator of Clay Feeds","n/a"
"Commercial Capital Corporation","Chairman","William Clay","Director","Ms. High School Activities Assn.","2015","Operator of Clay Feeds","n/a"
"Commercial Capital Corporation","Chairman","William Clay","Economics Teacher","EMCC","2015","Operator of Clay Feeds","n/a"
"Commercial Capital Corporation","Bank director","David Sorrels","Bank director","n/a","2015","Retired Insurance Agent","n/a"
"Commercial Capital Corporation","Bank director","David Sorrels","Director/Board Member of","East Mississippi Electrical Power Assn","2015","Retired Insurance Agent","n/a"
"Commercial Capital Corporation","Bank director","David Sorrels","Farm Services community member","n/a","2015","Retired Insurance Agent","n/a"
"Commercial Capital Corporation","Bank director","David Sorrels","Soil & Water conservation district commissioner","n/a","2015","Retired Insurance Agent","n/a"
"Commercial Capital Corporation","Bank director","David Sorrels","North MS Industrial Development Authority","n/a","2015","Retired Insurance Agent","n/a"
"Commercial Capital Corporation","Bank director","David Sorrels","East Central Planning & Development District","n/a","2015","Retired Insurance Agent","n/a"
"Commercial Capital Corporation","Bank CEO/President & Director","Michael Dudley","Bank CEO/President & Director","n/a","2015","n/a","n/a"
"Commercial Capital Corporation","Bank director","James D. Spinks","Bank director","n/a","2015","Attorney","n/a"
"Commercial Capital Corporation","Bank director","James D. Spinks","Director","Choctaw Area Council - Boy Scouts","2015","Attorney","n/a"
"Commercial Capital Corporation","Bank director","James D. Spinks","Commissioner","Weems Community Mental Health Center","2015","Attorney","n/a"
"Commercial Capital Corporation","Bank director","William M. Pilgrim","Bank director","n/a","2015","Owner of Quick Cash","n/a"
"Commercial Capital Corporation","Bank director","Margaret S. Womble","Bank director","n/a","2015","Retired Publications Editor/teacher","n/a"
"Commercial Capital Corporation","EVP/CFO & Director","Wyatt Webb","EVP/CFO & Director","n/a","2015","n/a","n/a"
"Commercial Capital Corporation","Bank director","Robert Sanford","Bank director","n/a","2015","President & CEO of:","n/a"
"Commercial Capital Corporation","Bank director","Robert Sanford","Owner","Benefits Management Group","2015","President & CEO of:","n/a"
"Commercial Capital Corporation","Bank director","Robert Sanford","Owner","Commercial Insurance Agency","2015","President & CEO of:","n/a"
"Commercial Capital Corporation","Bank director","Kent McLain","Bank director","n/a","2015","Owner of:","n/a"
"Commercial Capital Corporation","Bank director","Kent McLain","Owner of:","McLain Plumbing & Electrical Service","2015","Owner of:","n/a"
```
