```csv
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"UNITED TENNESSEE BANKSHARES,"INC."","NEW YORK,"NY"","2018","CEDE & CO.","COMMON","338263","40%","n/a"
"UNITED TENNESSEE BANKSHARES,"INC."","DANDRIDGE,"TN"","2018","RICHARD HARWOOD","COMMON","97266","12%","n/a"
"UNITED TENNESSEE BANKSHARES,"INC."","NEWPORT,"TN"","2018","J. WILLIAM MYERS","COMMON","33050","4%","n/a"
```
```csv
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"UNITED TENNESSEE BANKSHARES,"INC."","DIRECTOR CHAIRMAN","J. WILLIAM MYERS","OWNER","J. WILLIAM MYERS,"ATTORNEY"","2018","ATTORNEY","n/a"
"UNITED TENNESSEE BANKSHARES,"INC."","DIRECTOR","TOMMY C BIBLE","GENERAL MANAGER","JEFFERSON COCKE GAS UTILITY","2018","GENERAL MANAGER","n/a"
"UNITED TENNESSEE BANKSHARES,"INC."","DIRECTOR","BEN HOOPER III","ATTORNEY","CAMPBELL & HOOPER","2018","ATTORNEY","n/a"
"UNITED TENNESSEE BANKSHARES,"INC."","DIRECTOR","TOM INMAN","MANAGER","FARM BUREAU - NEWPORT","2018","MANAGER","n/a"
"UNITED TENNESSEE BANKSHARES,"INC."","DIRECTOR","ROBERT OVERHOLT","n/a","n/a","2018","N/A","n/a"
"UNITED TENNESSEE BANKSHARES,"INC."","DIRECTOR","RICHARD HARWOOD","n/a","n/a","2018","N/A","n/a"
"UNITED TENNESSEE BANKSHARES,"INC."","DIRECTOR","MITCHELL WEBB","OWNER","WILTON SPRINGS HARDWARE","2018","OWNER","n/a"
"UNITED TENNESSEE BANKSHARES,"INC."","DIRECTOR PRESIDENT/CEO","CHRIS TRIPLETT","n/a","n/a","2018","N/A","n/a"
"UNITED TENNESSEE BANKSHARES,"INC."","SENIOR VICE PRESIDENT","LONNIE JONES","n/a","n/a","2018","N/A","n/a"
"UNITED TENNESSEE BANKSHARES,"INC."","SENIOR VICE PRESIDENT","THOMAS RUSH","n/a","n/a","2018","N/A","n/a"
"UNITED TENNESSEE BANKSHARES,"INC."","n/a","CEDE & CO.","n/a","n/a","2018","CLEARING HOUSE","n/a"
```
