```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership"
"CBC Holding Company","Fitzgerald","2016","Sidney S. Anderson,"Jr."","n/a","112568","18.52%"
"CBC Holding Company","Fitzgerald","2016","Cede & Co.","n/a","39998","6.58%"
"CBC Holding Company","Fitzgerald","2016","A.B.C Dorminy,"III"","n/a","35006","5.76%"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year"
"CBC Holding Company","Chief Executive Officer and President","George M. Ray","Director","Community Banking Company of Fitzgerald","2016"
"CBC Holding Company","Chairman of the Board","John T. Croley,"Jr."","Chairman of the Board","Community Banking Co. of Fitzgerald","2016"
"CBC Holding Company","Director Emeritus","Sidney S. Anderson,"Jr."","Directory Emeritus","Community Banking Co. of Fitzgerald","2016"
"CBC Holding Company","Director","Lee Phillip Liles","Director","Community Banking Co. of Fitzgerald","2016"
"CBC Holding Company","Director","Hulin Reeves,"Jr."","Director","Community Banking Co. of Fitzgerald","2016"
"CBC Holding Company","Treasurer","James Thomas Casper,"III"","Treasurer","Community Banking Co. of Fitzgerald","2016"
"CBC Holding Company","Vice Chairman","A.B.C. Dorminy,"III"","Vice Chairman","Community Banking Co. of Fitzgerald","2016"
"CBC Holding Company","Director","Wyndall L. Walters","Director","Community Banking Co. of Fitzgerald","2016"
"CBC Holding Company","Director","Steven L. Mitchell","Director","Community Banking Co. of Fitzgerald","2016"
"CBC Holding Company","Secretary","John Edward Smith,"III"","Secretary","Community Banking Co. of Fitzgerald","2016"
"CBC Holding Company","Director","Charles A. Clark,"Sr."","Director","Community Banking Co. of Fitzgerald","2016"
"CBC Holding Company","Director","Art Anderson","Director","Community Banking Co. of Fitzgerald","2016"
"CBC Holding Company","Director","Larry F. Stevenson","Sr. Executive VP and Chief Credit Officer","Community Banking Co. of Fitzgerald","2016"
"CBC Holding Company","Director","Louis E,"Harper","Jr."","Director","Community Banking Co. of Fitzgerald","2016"
"CBC Holding Company","Director","Howard A Wiley","Director","Community Banking Co. of Fitzgerald","2016"
"CBC Holding Company","Director","Eric H Stone","Director","Community Banking Co. of Fitzgerald","2016"
"CBC Holding Company","Director","Jack Paulk","Director","Community Banking Co. of Fitzgerald","2016"
"CBC Holding Company","n/a","J Corey Gibbs","President/CEO","Community Banking Company of Fitzgerald","2016"
```
