```text
SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"MidSouth Bancorp,"Inc."","New York,"NY"","2017","Jacobs Asset Management,"LLC"","Common Stock","927469","5.60%","n/a"
"MidSouth Bancorp,"Inc."","Many,"LA"","2017","Leonard Q Abington","Common Stock","821980","7.22%","n/a"
"MidSouth Bancorp,"Inc."","Winter Park,"FL"","2017","DePrince Race & Zollo Inc","Common Stock","630793","5.53%","n/a"
"MidSouth Bancorp,"Inc."","McLean,"Virginia"","2017","FJ Capital Mgmt","Common Stock","824000","5.14%","n/a"
"MidSouth Bancorp,"Inc."","Chicago,"IL"","2017","RMB Capital Management,"LLC"","Common Stock","846047","5.11%","n/a"
"MidSouth Bancorp,"Inc."","Lafayette,"LA"","2017","MidSouth Bancorp,"Inc. Employee Stock Ownership Plan"","Common Stock","740360","6.49%","n/a"
INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"MidSouth Bancorp,"Inc."","Director","Clive R Cloutier","Former Director","MidSouth Bank,"N.A."","2017","Former President and CEO"
"MidSouth Bancorp,"Inc."","Director","Leonard Q Abington","Member","A&C Holdings,"LLC"","2017","Entrepreneur Private Investor"
"MidSouth Bancorp,"Inc."","Director","Leonard Q Abington","Member","Pete Abington Farms LLC","2017","Entrepreneur Private Investor"
"MidSouth Bancorp,"Inc."","Director","Leonard Q Abington","Member","JACC Properties LLC","2017","Entrepreneur Private Investor"
"MidSouth Bancorp,"Inc."","Director","Leonard Q Abington","Member","P&E Properties LLC","2017","Entrepreneur Private Investor"
"MidSouth Bancorp,"Inc."","Director","Leonard Q Abington","Member","Sabine Ventures LLC","2017","Entrepreneur Private Investor"
"MidSouth Bancorp,"Inc."","Director","Leonard Q Abington","Member","171 Ventures LLC","2017","Entrepreneur Private Investor"
"MidSouth Bancorp,"Inc."","Director","Leonard Q Abington","Member","Highway 1217 LLC","2017","Entrepreneur Private Investor"
"MidSouth Bancorp,"Inc."","Director","Leonard Q Abington","Member","Camino LLC","2017","Entrepreneur Private Investor"
"MidSouth Bancorp,"Inc."","Director","Leonard Q Abington","Member","Sylvan Street Estates,"LLC"","2017","Entrepreneur Private Investor"
"MidSouth Bancorp,"Inc."","Director","Leonard Q Abington","Member","J&A of Louisiana,"LLC"","2017","Entrepreneur Private Investor"
"MidSouth Bancorp,"Inc."","Director","Leonard Q Abington","Member","3-Way Mortgage,"LLC"","2017","Entrepreneur Private Investor"
"MidSouth Bancorp,"Inc."","Director","Leonard Q Abington","Partner","Abington - Wright","2017","Entrepreneur Private Investor"
"MidSouth Bancorp,"Inc."","Director","Leonard Q Abington","Partner","Camino Real Group","2017","Entrepreneur Private Investor"
"MidSouth Bancorp,"Inc."","Director","Leonard Q Abington","Partner","Cum Laude","2017","Entrepreneur Private Investor"
"MidSouth Bancorp,"Inc."","Director","Leonard Q Abington","Partner","Cane Garden Apartments","2017","Entrepreneur Private Investor"
"MidSouth Bancorp,"Inc."","Director","Milton B Kidd,"III"","Partner","Kidd & Associates LLC","2017","Optometrist"
