```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","Percentage of Voting Shares","RSSD_ID","Percentage of Voting Shares in Subsidiaries"
"Scribner Bank","Secretary","Daniel S. Isaac","President & CEO","n/a","2022","Banking","n/a","n/a","n/a"
"Scribner Bank","Director,"Resident & Treasurer"","Martin F. Koopman,"Trustee"","Member","LMJ Koopman Family Farms,"LLC"","2022","Banking","4.81%","n/a","n/a"
"Strasburg Banshares,"Inc",","Director","Mary S. Fecht,"Trustee"","Investment Manager","Strasburg Banshares,"inc"","2022","Retired","6.15%","n/a","n/a"
"Scribner Bank","n/a","Richard R. Weerts,"Trustee"","n/a","n/a","2022","n/a","12.29%","n/a","n/a"
"n/a","CEO& President","W/C,"Foxley","Trustee"","n/a","Foxley & Co.","2022","Investor","12.20%","n/a","n/a"
"Scribner Bank","Vice President & Director","Williams J. Mayer","n/a","n/a","2022","Landowner","n/a","n/a","n/a"
"Scribner Bank","Director","Nancy A. Meyer","n/a","n/a","2022","Registered Nurse","4.10%","n/a","n/a"
"n/a","n/a","Stanley,"Lates"","n/a","n/a","2022","Elkhorn Public Schools Director & Bus Driver","2.95%","n/a","n/a"
"Scribner Bank","Director","Mary J. Holmeister","n/a","n/a","2022","Retired","2.95%","n/a","n/a"
"n/a","n/a","James A. Mol","Owner","E and E Farm","2022","Retired","6.15%","n/a","n/a"
"n/a","n/a","Cynthia A. Mohl","n/a","n/a","2022","Retired","6.15%","n/a","n/a"
"Scribner Bank","Director","Dennis Baumert","Director","MGT Farms,"Inc"","2022","Investor","0.02%","n/a","n/a"
"Scribner Bank","Director","Dennis Baumert","Director","CNBGH Co","2022","Investor","0.02%","n/a","n/a"
"Scribner Bank","Director","Dennis Baumert","President","Golden Nugget,"Inc."","2022","Investor","0.02%","n/a","n/a"
"Scribner Bank","Director","Dennis Baumert","President","CBK. Inc","2022","Investor","0.02%","n/a","n/a"
"Scribner Bank","Director","Dennis Baumert","President","Webster Land Co.","2022","Investor","0.02%","n/a","n/a"
"Scribner Bank","Director","Dennis Baumert","President","Dennis Baumert Cattle Acct Inc","2022","Investor","0.02%","n/a","n/a"
"Scribner Bank","Director","Dennis Baumert","President","DMSKS,"Inc"","2022","Investor","0.02%","n/a","n/a"
"Scribner Bank","Director","Dennis Baumert","Partner","DLJ Partnership","2022","Investor","0.02%","n/a","n/a"
"Scribner Bank","Director","Dennis Baumert","Partner","Cuming County Choppers","2022","Investor","0.02%","n/a","n/a"
"Scribner Bank","Director","Dennis Baumert","Member","West Point Land Company,"LLC"","2022","Investor","0.02%","n/a","n/a"
"Scribner Bank","Director","Dennis Baumert","Member","Circle BK Farm & Ranch,"LLC"","2022","Investor","0.02%","n/a","n/a"
"Scribner Bank","Director","Dennis Baumert","Member","Solid Ground Farm & Ranch LLC","2022","Investor","0.02%","n/a","n/a"
"Scribner Bank","Director","Dennis Baumert","Member","D. Baumert Family,"LLC"","2022","Investor","0.02%","n/a","n/a"
"Scribner Bank","Director","Dennis Baumert","Member","D. Baumert Family II,"LLC"","2022","Investor","0.02%","n/a","n/a"
"Scribner Bank","Director","Dennis Baumert","Secretary & Treasurer","Maple Creek Pig Co.","2022","Investor","0.02%","n/a","n/a"
"Scribner Bank","Director","Dennis Baumert","Manager","Hwy 11 Farming Interest","2022","Investor","0.02%","n/a","n/a"
```
