```csv
SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"STOCKMAN FINANCIAL CORPORATION","Miles City,"MT"","2023","Caren Coffee","n/a","5650.00","54.67%","1126046"
"STOCKMAN FINANCIAL CORPORATION","Billings,"MT"","2023","William E. Coffee","n/a","3951.00","38.23%","1126046"
```
```csv
INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","Percentage of Voting Shares","RSSD_ID","Percentage of Voting Shares in Subsidiaries"
"STOCKMAN FINANCIAL CORPORATION","Director,"Vice Chairperson & Executive Vice President"","Caren Coffee","President","Coffee Cattle Company","2023","Holding company","54.67%","1126046","None"
"STOCKMAN FINANCIAL CORPORATION","Director,"Vice Chairperson & Executive Vice President"","Caren Coffee","Managing Member","Coffee Ranch LLC","2023","Holding company","54.67%","1126046","None"
"STOCKMAN FINANCIAL CORPORATION","Director,"Vice Chairperson & Executive Vice President"","Caren Coffee","President of General Partnership","Coffee Nefsy Limited Partnership","2023","Holding company","54.67%","1126046","None"
"STOCKMAN FINANCIAL CORPORATION","Director,"Vice Chairperson & Executive Vice President"","Caren Coffee","Trustee","Coffee Family Trust III","2023","Holding company","54.67%","1126046","None"
"STOCKMAN FINANCIAL CORPORATION","Director,"Vice Chairperson & Executive Vice President"","Caren Coffee","President","Miles City Ranch Company","2023","Holding company","54.67%","1126046","None"
"STOCKMAN FINANCIAL CORPORATION","Director,"Vice Chairperson & Executive Vice President"","Caren Coffee","Vice President","Wm. & Lorene Nefsy Foundation","2023","Holding company","54.67%","1126046","None"
"STOCKMAN FINANCIAL CORPORATION","Director,"Vice Chairperson & Executive Vice President"","Caren Coffee","Trustee","A.L. Coffee Trust","2023","Holding company","54.67%","1126046","None"
"STOCKMAN FINANCIAL CORPORATION","Director,"Vice Chairperson & Executive Vice President"","Caren Coffee","Member","Coffee Feeders LLC","2023","Holding company","54.67%","1126046","None"
"STOCKMAN FINANCIAL CORPORATION","Director,"Vice Chairperson & Executive Vice President"","Caren Coffee","Trustee","C.M. Coffee Trust","2023","Holding company","54.67%","1126046","None"
"STOCKMAN FINANCIAL CORPORATION","Director,"Vice Chairperson & Executive Vice President"","Caren Coffee","Member","MPEG Land Development","2023","Holding company","54.67%","1126046","None"
"STOCKMAN FINANCIAL CORPORATION","Director,"Vice Chairperson & Executive Vice President"","Caren Coffee","Member","Coffee Commercial LLC","2023","Holding company","54.67%","1126046","None"
"STOCKMAN FINANCIAL CORPORATION","Director,"Vice Chairperson & Executive Vice President"","Caren Coffee","Member","Tongue River Ranch","2023","Holding company","54.67%","1126046","None"
"STOCKMAN FINANCIAL CORPORATION","Director,"Chairperson","President & Chief Executive Officer"","William E. Coffee","Vice President/Treasurer","Coffee Cattle Company","2023","Holding company","38.23%","1126046","None"
"STOCKMAN FINANCIAL CORPORATION","Director,"Chairperson","President & Chief Executive Officer"","William E. Coffee","Member","Coffee Ranch LLC","2023","Holding company","38.23%","1126046","None"
"STOCKMAN FINANCIAL CORPORATION","Director,"Chairperson","President & Chief Executive Officer"","William E. Coffee","Director","Community Bankers of Montana","2023","Holding company","38.23%","1126046","None"
"STOCKMAN FINANCIAL CORPORATION","Director,"Chairperson","President & Chief Executive Officer"","William E. Coffee","Vice President/Treasurer","Miles City Ranch Company","2023","Holding company","38.23%","1126046","None"
"STOCKMAN FINANCIAL CORPORATION","Director,"Chairperson","President & Chief Executive Officer"","William E. Coffee","Managing Member","Coffee Commercial LLC","2023","Holding company","38.23%","1126046","None"
"STOCKMAN FINANCIAL CORPORATION","Director,"Chairperson","President & Chief Executive Officer"","William E. Coffee","Director","Montana Independent Bankers","2023","Holding company","38.23%","1126046","None"
"STOCKMAN FINANCIAL CORPORATION","Director,"Chairperson","President & Chief Executive Officer"","William E. Coffee","Trustee","Nefsy Family Trust IA & 1C","2023","Holding company","38.23%","1126046","None"
"STOCKMAN FINANCIAL CORPORATION","Director,"Chairperson","President & Chief Executive Officer"","William E. Coffee","Trustee","Coffee Family Trust IA & 1C","2023","Holding company","38.23%","1126046","None"
"STOCKMAN FINANCIAL CORPORATION","Director,"Chairperson","President & Chief Executive Officer"","William E. Coffee","Trustee","Coffee Family Trust II","2023","Holding company","38.23%","1126046","None"
"STOCKMAN FINANCIAL CORPORATION","Director,"Chairperson","President & Chief Executive Officer"","William E. Coffee","President","Wm. & Lorene Nefsy Foundation","2023","Holding company","38.23%","1126046","None"
"STOCKMAN FINANCIAL CORPORATION","Director,"Chairperson","President & Chief Executive Officer"","William E. Coffee","Vice President of General Partnership","Coffee Nefsy Ltd Partnership","2023","Holding company","38.23%","1126046","None"
