```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"First Palmetto Financial Corporation","Camden,"SC"","2023","Samuel R. Small","Common Stock","150","14.72%","n/a"
"First Palmetto Financial Corporation","Camden,"SC"","2023","H. Gibson Tucker","Common Stock","58.8","5.77%","n/a"
"First Palmetto Financial Corporation","Camden,"SC"","2023","Henry D. Green,"III"","Common Stock","53","5.2%","n/a"
"First Palmetto Financial Corporation","Bar Harbor,"ME"","2023","M. Lauren Tucker","Common Stock","57","5.59%","n/a"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","Percentage of Voting Shares","RSSD_ID","Percentage of Voting Shares in Subsidiaries"
"First Palmetto Financial Corporation","CEO","Samuel R. Small","n/a","n/a","2023","Banking",".n/a","n/a","n/a"
"First Palmetto Financial Corporation","Chairman of Board/CEO/General Counsel/President/Director","Samuel R. Small,"Jr."","n/a","n/a","2023","Banking",".0383","n/a","n/a"
"First Palmetto Financial Corporation","SVP/Corporate Secretary/Director","Steve G. Williams,"Jr."","President","John T Stevens Foundation","2023","Banking",".0324","n/a","n/a"
"First Palmetto Financial Corporation","SVP/CFO/Treasurer","Thomas C. Anderson,"Jr."","n/a","n/a","2023","Banking",".0059","n/a","n/a"
"First Palmetto Financial Corporation","Director","Will Johnson","n/a","HSB Law Firm","2023","Attorney",".0079","n/a","n/a"
"First Palmetto Financial Corporation","Director","M. Lauren Tucker","n/a","Tucker Down East Resources","2023","GM",".0559","n/a","n/a"
"First Palmetto Financial Corporation","Director","H. Gibson Tucker","n/a","n/a","2023","Banking",".0577","n/a","n/a"
"First Palmetto Financial Corporation","Director","Susan S. Grumbach","n/a","Camden Family Care","2023","Nurse Practitioner",".0059","n/a","n/a"
"First Palmetto Financial Corporation","Director","Henry D. Green,"III"","n/a","CTP&G Accounting Firm","2023","CPA",".052","n/a","n/a"
```
