```csv
SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Dimeco,"Inc."","Honesdale,"PA"","2023","Henry M. Skier","Common Stock","187825","7.41%","n/a"
```
```csv
INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","Percentage of Voting Shares","RSSD_ID","Percentage of Voting Shares in Subsidiaries"
"Dimeco,"Inc."","Director","Gary C. Beilman","Managing Member","GCB Consulting LLC","2023","Consulting","1.3%","n/a","None"
"Dimeco,"Inc."","Director","Gregory Frigoletto","Superintendent","Wayne Highlands School District","2023","School Administration","Less than 1%","n/a","None"
"Dimeco,"Inc."","Director","Barbara J. Genzlinger","Managing Member","Root Hospitality LLC","2023","Consulting","Less than 1%","n/a","None"
"Dimeco,"Inc."","Director","Brian T. Kelly","Owner","Brian T. Kelly CPA & Associates,"LLC"","2023","Certified Public Accountant","Less than 1%","n/a","None"
"Dimeco,"Inc."","Director","Brian T. Kelly","Owner","Chocolate Wine & Taxes LLC","2023","Certified Public Accountant","Less than 1%","n/a","None"
"Dimeco,"Inc."","Director","Brian T. Kelly","Owner","Lawsuit Lending","2023","Certified Public Accountant","Less than 1%","n/a","None"
"Dimeco,"Inc."","Chairman of the Board & Director","John S. Kiesendahl","President","Woodloch Hospitality Corp.","2023","Resort Management","1.5%","n/a","None"
"Dimeco,"Inc."","Chairman of the Board & Director","John S. Kiesendahl","President","Woodloch Builders","2023","Resort Management","1.5%","n/a","None"
"Dimeco,"Inc."","Chairman of the Board & Director","John S. Kiesendahl","Vice-President","Woodloch Pines,"Inc."","2023","Resort Management","1.5%","n/a","None"
"Dimeco,"Inc."","Chairman of the Board & Director","John S. Kiesendahl","Managing Advisor","Lochgen LLP","2023","Resort Management","1.5%","n/a","None"
"Dimeco,"Inc."","Chairman of the Board & Director","John S. Kiesendahl","Managing Advisor","Woodloch Spa Resort LLC","2023","Resort Management","1.5%","n/a","None"
"Dimeco,"Inc."","Director","David D. Reynolds,"M.D."","President & CEO","Northeastern Gastroenterology Associates","2023","Physician","1.4%","n/a","None"
"Dimeco,"Inc."","Director","David D. Reynolds,"M.D."","President & CEO","Mountain Laurel Surgical Center","2023","Physician","1.4%","n/a","None"
"Dimeco,"Inc."","Director","David D. Reynolds,"M.D."","President & CEO","Maple City Anesthesia LLC","2023","Physician","1.4%","n/a","None"
"Dimeco,"Inc."","Director","David D. Reynolds,"M.D."","Partner","SGR Real Estate","2023","Physician","1.4%","n/a","None"
"Dimeco,"Inc."","Director","David D. Reynolds,"M.D."","Partner","Bethany Gustin LLC","2023","Physician","1.4%","n/a","None"
"Dimeco,"Inc."","Director","David D. Reynolds,"M.D."","Owner","Mountain Laurel Real Estate LLC","2023","Physician","1.4%","n/a","None"
"Dimeco,"Inc."","Director","Aimee M. Skier","Co-President","A.M. Skier Agency,"Inc."","2023","Insurance Agency","Less than 1%","n/a","None"
"Dimeco,"Inc."","Director","Aimee M. Skier","General Partner","Skier Family Partnership,"LP"","2023","Insurance Agency","Less than 1%","n/a","None"
"Dimeco,"Inc."","Director","Henry M. Skier","Chairman","A.M. Skier Agency,"Inc."","2023","Insurance Agency","7.4%","n/a","None"
"Dimeco,"Inc."","Director","Henry M. Skier","Chairman","A.M. Skier Reinsurance Company","2023","Insurance Agency","7.4%","n/a","None"
"Dimeco,"Inc."","Director","Henry M. Skier","Manager","HEJA,"LLC"","2023","Insurance Agency","7.4%","n/a","None"
"Dimeco,"Inc."","Director","Henry M. Skier","Managing Partner","Skier Family Partnership,"LP"","2023","Insurance Agency","7.4%","n/a","None"
"Dimeco,"Inc."","Secretary & Director","John F. Spall","Sr. Managing Partner","Spall,"Rydzewski","Anderson","Lalley & Tunis","PC"","2023","Attorney-at-Law","3.1%","n/a","None"
"Dimeco,"Inc."","Vice Chairman of the Board & Director","Todd J. Stephens","Chief Operating Officer","Medical Shoppe,"Ltd."","2023","Medical Equipment","Less than 1%","n/a","None"
"Dimeco,"Inc."","Vice Chairman of the Board & Director","Todd J. Stephens","Managing Partner","Hulich Partners","2023","Medical Equipment","Less than 1%","n/a","None"
"Dimeco,"Inc."","Vice Chairman of the Board & Director","Todd J. Stephens","Managing Partner/President","Northeast Accessibility","2023","Medical Equipment","Less than 1%","n/a","None"
"Dimeco,"Inc."","President,"Chief Executive Officer & Director"","Peter Bochnovich","n/a","n/a","2023","n/a","Less than 1%","n/a","None"
"Dimeco,"Inc."","Executive Vice President,"Chief Lending Officer"","William R. Boyle","n/a","n/a","2023","n/a","Less than 1%","n/a","None"
"Dimeco,"Inc."","Executive Vice President,"Chief Financial Officer","Treasurer & Assistant Secretary"","Jeffrey J. Roche","n/a","n/a","2023","n/a","Less than 1%","n/a","None"
```
