```csv
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"KISH BANCORP,"INC"","State College,"PA"","2023","William P. Hayes","Options on Common Stock","29710","1.03%","n/a"
"KISH BANCORP,"INC"","State College,"PA"","2023","William P. Hayes","n/a","205788","6.99%","n/a"
```
```csv
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","Percentage of Voting Shares","RSSD_ID","Percentage of Voting Shares in Subsidiaries"
"KISH BANCORP,"INC"","Executive Chairman; Director; Executive Chairman; Director","William P. Hayes","Managing Partner","William P. Hayes Family LP","2023","Bank Executive","6.99%","n/a","n/a"
"KISH BANCORP,"INC"","Executive Chairman; Director; Executive Chairman; Director","William P. Hayes","Partner","Hayes Bros Partnership","2023","Bank Executive","1.03%","n/a","n/a"
"KISH BANCORP,"INC"","Executive Chairman; Director; Executive Chairman; Director","William P. Hayes","Partner","Dairyland Hills LP","2023","Bank Executive","1.03%","n/a","n/a"
"KISH BANCORP,"INC"","Executive Chairman; Director; Executive Chairman; Director","William P. Hayes","Manager","Hayes Harpster LLC","2023","Bank Executive","1.03%","n/a","n/a"
"KISH BANCORP,"INC"","Director","William L. Dancy","Owner","William Dancy LLC","2023","Retired Roofing Contractor","0.89%","n/a","n/a"
"KISH BANCORP,"INC"","Director","George V. Woskob","President","GM Asscoates Realty Inc.","2023","Real Estate Developer","0.33%","n/a","n/a"
"KISH BANCORP,"INC"","Director","George V. Woskob","Owner","Designer Studio","2023","Real Estate Developer","0.09%","n/a","n/a"
"KISH BANCORP,"INC"","Director","George V. Woskob","Managing Partner","Woskob Development Prtsp","2023","Real Estate Developer","0.09%","n/a","n/a"
"KISH BANCORP,"INC"","Director","George V. Woskob","Managing Partner","AGL LTD Partnership","2023","Real Estate Developer","0.09%","n/a","n/a"
"KISH BANCORP,"INC"","Director","George V. Woskob","Managing Partner","AGL LTD Partnership II","2023","Real Estate Developer","0.09%","n/a","n/a"
"KISH BANCORP,"INC"","Director","George V. Woskob","Managing Partner","New Woskob LLC","2023","Real Estate Developer","0.09%","n/a","n/a"
"KISH BANCORP,"INC"","Director","William S. Lake","General Manager","Lake Chevrolet,"Buick","GMC Inc"","2023","Auto Dealer","3.46%","n/a","n/a"
"KISH BANCORP,"INC"","Director","William S. Lake","General Manager","Lake Ford Lincoln,"Inc"","2023","Auto Dealer","0.05%","n/a","n/a"
"KISH BANCORP,"INC"","Director","William S. Lake","General Manager","Lake Auto LLC","2023","Auto Dealer","0.05%","n/a","n/a"
"KISH BANCORP,"INC"","Director","William S. Lake","General Manager","Lake Chrysler Dodge Jeep Ram LLC","2023","Auto Dealer","0.05%","n/a","n/a"
"KISH BANCORP,"INC"","Director","James Troha","President","Juniata College","2023","College Administrator","0.06%","n/a","n/a"
"KISH BANCORP,"INC"","Vice Chairman/Outside Lead Director; Director","Paul G. Howes","President/Manager","Nanaimo BioVentures,"LLC"","2023","Retired Biotechnology Executive","1.07%","n/a","n/a"
"KISH BANCORP,"INC"","Director","Paul Silvis","Managing Partner","Siltop Visions,"LLC"","2023","Manufacturing Executive","1.20%","n/a","n/a"
"KISH BANCORP,"INC"","Director","Paul Silvis","CEO","Silcotek Corporation","2023","Manufacturing Executive","0.15%","n/a","n/a"
"KISH BANCORP,"INC"","Director","Paul Silvis","Partner","BHP LLC","2023","Manufacturing Executive","0.15%","n/a","n/a"
"KISH BANCORP,"INC"","Director","Paul Silvis","Director","Chromatan Corp","2023","Manufacturing Executive","0.15%","n/a","n/a"
"KISH BANCORP,"INC"","Director","Paul Silvis","Director","MiQroTech","2023","Manufacturing Executive","0.15%","n/a","n/a"
"KISH BANCORP,"INC"","Director","Paul Silvis","Partner","199 Partnership LLC","2023","Manufacturing Executive","0.15%","n/a","n/a"
"KISH BANCORP,"INC"","Director","Frances V. Vaughn","HR Manager","n/a","2023","HR Manager","0.13%","n/a","n/a"
"KISH BANCORP,"INC"","Director","Eric J. Barron","Retired College Administrator","n/a","2023","Retired College Administrator","0.11%","n/a","n/a"
"KISH BANCORP,"INC"","Director","Kathleen Rhine","CEO","Mount Nittany Health","2023","Health Care Executive","0.11%","n/a","n/a"
"KISH BANCORP,"INC"","Director","Michael K. Halloran","Health Services Executive","n/a","2023","Health Services Executive","0.65%","n/a","n/a"
"KISH BANCORP,"INC"","Chief Financial Officer,"Treasurer and Assistant Secretary; Director"","Angela Thompson","CEO","Thompson's Candle Co.","2023","Manufacturing Executive","0.00%","n/a","n/a"
"KISH BANCORP,"INC"","Chief Financial Officer,"Treasurer and Assistant Secretary; Director"","Angela Thompson","Owner","Burroughs,"Kenyon","and Thompson LLC (dba Three Twelve Kitchen & Cocktails)"","2023","Manufacturing Executive","0.00%","n/a","n/a"
"KISH BANCORP,"INC"","Chief Financial Officer,"Treasurer and Assistant Secretary; Director"","Angela Thompson","Owner","Burroughs,"Kenyon","and Thompson LLC"","2023","Manufacturing Executive","0.00%","n/a","n/a"
"KISH BANCORP,"INC"","Chief Financial Officer,"Treasurer and Assistant Secretary; Director"","Angela Thompson","Owner","Gage Mansion Bed & Breakfast","2023","Manufacturing Executive","0.00%","n/a","n/a"
"KISH BANCORP,"INC"","Executive Vice President; Chief Financial Officer; Treasurer","Mark Crvkel","N/A","N/A","2023","Bank Executive","0.34%","n/a","0.56%"
"KISH BANCORP,"INC"","President/ CEO; President","Gregory Hayes","Limited Partner","Hayes Family Limited Partnership (William P. Hayes Family LP)","2023","Bank Executive","1.21%","n/a","1.43%"
"KISH BANCORP,"INC"","Executive Vice President; General Counsel","Robert S. McMinn","N/A","N/A","2023","Bank Executive","2.75%","n/a","0.54%"
"KISH BANCORP,"INC"","Executive Vice President; Assistant Secretary","Richard A. Sarfert","N/A","N/A","2023","Bank Executive","0.60%","n/a","0.68%"
"KISH BANCORP,"INC"","Executive Vice President","Suzanne White","N/A","N/A","2023","Bank Executive","0.23%","n/a","0.21%"
"KISH BANCORP,"INC"","Executive Vice President","Keith Crissman","N/A","N/A","2023","Bank Executive","0.04%","n/a","n/a"
"KISH BANCORP,"INC"","Senior Vice President","Mark Yerger","N/A","N/A","2023","Bank Executive","0.03%","n/a","0.09%"
```
