### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"IXONIA BANCSHARES","INC.","Milwaukee,"WI"","2023","Sheldon B. Lubar","Common Stock Series A","175614","12.72%","n/a"
"IXONIA BANCSHARES","INC.","Milwaukee,"WI"","2023","Sheldon B. Lubar","Common Stock Series B","223152","12.72%","n/a"
"IXONIA BANCSHARES","INC.","Milwaukee,"WI"","2023","David J. Lubar","Common Stock Series A","174966","12.70%","n/a"
"IXONIA BANCSHARES","INC.","Milwaukee,"WI"","2023","David J. Lubar","Common Stock Series B","223168","12.70%","n/a"
"IXONIA BANCSHARES","INC.","Milwaukee,"WI"","2023","Joan P. Lubar","Common Stock Series A","174966","12.70%","n/a"
"IXONIA BANCSHARES","INC.","Milwaukee,"WI"","2023","Joan P. Lubar","Common Stock Series B","223168","12.70%","n/a"
"IXONIA BANCSHARES","INC.","Milwaukee,"WI"","2023","Marianne S. Lubar","Common Stock Series A","174966","12.70%","n/a"
"IXONIA BANCSHARES","INC.","Milwaukee,"WI"","2023","Marianne S. Lubar","Common Stock Series B","223168","12.70%","n/a"
"IXONIA BANCSHARES","INC.","Milwaukee,"WI"","2023","Susan Lubar","Common Stock Series A","175394","12.71%","n/a"
"IXONIA BANCSHARES","INC.","Milwaukee,"WI"","2023","Susan Lubar","Common Stock Series B","223168","12.71%","n/a"
"IXONIA BANCSHARES","INC.","Minneapolis,"MN"","2023","Kristine Lubar MacDonald","Common Stock Series A","174918","12.70%","n/a"
"IXONIA BANCSHARES","INC.","Minneapolis,"MN"","2023","Kristine Lubar MacDonald","Common Stock Series B","223168","12.70%","n/a"
"IXONIA BANCSHARES","INC.","Milwaukee,"WI"","2023","Allan H. Selig","Common Stock Series A","270543","8.63%","n/a"
"IXONIA BANCSHARES","INC.","Milwaukee,"WI"","2023","Allan H. Selig","Common Stock Series B","0","8.63%","n/a"
### INSIDERS CSV
"Bank","Internal Title","Person","Fiscal Year","Occupation","Percentage of Voting Shares","RSSD_ID","Percentage of Voting Shares in Subsidiaries"
"IXONIA BANCSHARES","INC.","Director","Sheldon B. Lubar","2023","Founder and Chairman,"Lubar & Co.","Inc."","12.72%","n/a","n/a"
"IXONIA BANCSHARES","INC.","Director-Chairman,"Director"","David J. Lubar","2023","President,"Lubar & Co.","Inc."","12.70%","n/a","n/a"
"IXONIA BANCSHARES","INC.","n/a","Joan P. Lubar","2023","Principal Securities Holder","12.70%","n/a","n/a"
"IXONIA BANCSHARES","INC.","n/a","Marianne S. Lubar","2023","Principal Securities Holder","12.70%","n/a","n/a"
"IXONIA BANCSHARES","INC.","Director","Susan Lubar","2023","President,"Growing Minds","Inc."","12.71%","n/a","n/a"
"IXONIA BANCSHARES","INC.","n/a","Kristine Lubar MacDonald","2023","Principal Securities Holder","12.70%","n/a","n/a"
"IXONIA BANCSHARES","INC.","Director","Allan H. Selig","2023","Commissioner Emeritus of Major League Baseball","8.63%","n/a","n/a"
"IXONIA BANCSHARES","INC.","Director","William Read","2023","CEO,"Wag-Aero Group"","0.38%","n/a","n/a"
"IXONIA BANCSHARES","INC.","CEO,"Director-President","Director"","Greg Larson","2023","CEO,"Ixonia Bank"","0.00%","n/a","n/a"
"IXONIA BANCSHARES","INC.","Director","David Bauer","2023","Chief Investment Officer,"Lubar & Co.","Inc."","0.00%","n/a","n/a"
"IXONIA BANCSHARES","INC.","Director","Mark R. Hogan","2023","Retired","0.00%","n/a","n/a"
