```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Commercial National Corporation","Brady,"TX"","2023","W. Clay Jones","n/a","34878","10.1%","n/a"
"Commercial National Corporation","Brady,"TX"","2023","Doris Ellis Jones","n/a","24166","7.05%","n/a"
"Commercial National Corporation","Brady,"TX"","2023","John W. Jones Family Trust","n/a","331",".00001%","n/a"
"Commercial National Corporation","Austin,"Texas"","2023","Martha M. Jones","n/a","6000","1.75%","n/a"
"Commercial National Corporation","Brady,"Texas"","2023","Zachary Jones","n/a","6000","1.75%","n/a"
"Commercial National Corporation","Brady,"Texas"","2023","Mark W. Jones","n/a","24173","7.06%","n/a"
"Commercial National Corporation","Boerne,"Texas"","2023","Jeffrey Jones","n/a","6000","1.75%","n/a"
"Commercial National Corporation","Rochelle,"Texas"","2023","Grant Jones","n/a","22348","6.52%","n/a"
"Commercial National Corporation","Lubbock,"Texas"","2023","Liane J. Locke","n/a","21848","6.4%","n/a"
"Commercial National Corporation","Brady,"Texas"","2023","William L. Jones Family Trust","n/a","41053","11.98%","n/a"
"Commercial National Corporation","Brady,"Texas"","2023","Diane Jones,"Trustee"","n/a","41053","11.98%","n/a"
"Commercial National Corporation","Brady,"Texas"","2023","Saundra Davenport","n/a","52230","15.25%","n/a"
"Commercial National Corporation","Dallas,"Texas"","2023","Durel Reid","n/a","21766","6.35%","n/a"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","Percentage of Voting Shares","RSSD_ID","Percentage of Voting Shares in Subsidiaries"
"Commercial National Corporation","Director","Conrad Appleton","Brasada Ranch Pres","Brasada Ranch","2023","Rancher","2.56%","n/a","n/a"
"Commercial National Corporation","Prin.Securities Holder","Saundra Davenport","n/a","n/a","2023","Homemaker","15.25%","n/a","n/a"
"Commercial National Corporation","Director","Grant Jones","Wm. Jones Co Ranch LTD Ptr","Wm. Jones Co Ranch","2023","Rancher","6.52%","n/a","n/a"
"Commercial National Corporation","Director","Mark W. Jones","Jones Nth Ranch-Ptr","Jones Nth Ranch","2023","Banker","7.06%","n/a","n/a"
"Commercial National Corporation","Director/Pres","W. Clay Jones","Jones Nth Ranch LTD Ptr","Jones Nth Ranch","2023","Banker","17.15001%","n/a","n/a"
"Commercial National Corporation","Director/Pres","W. Clay Jones","Jones Nth Ranch Mgmnt-Ptr","Jones Nth Ranch","2023","Banker","17.15001%","n/a","n/a"
"Commercial National Corporation","Prin Securities Holder","Martha M. Jones","n/a","n/a","2023","Bus. Woman","1.75%","n/a","n/a"
"Commercial National Corporation","Prin.Securities Holder","Zachary Jones","n/a","n/a","2023","Banker","1.75%","n/a","n/a"
"Commercial National Corporation","V.P.","Beth Bowman","Bowman Land Mgmnt Owner","Bowman Land Mgmnt","2023","Banker","n/a","n/a"
"Commercial National Corporation","Director","Joseph S. King","Joseph & Mary King LLC-Pres","Joseph & Mary King LLC","2023","Retired Pharmacist",".00184%","n/a","n/a"
"Commercial National Corporation","Director","W. Grant Martin","Sage Mfg,"LLC/Pres"","Sage Mfg,"LLC"","2023","Businessman",".000073%","n/a","n/a"
"Commercial National Corporation","Director","W. Grant Martin","Lamson,"LLC/Mgr"","Lamson,"LLC"","2023","Businessman",".000073%","n/a","n/a"
"Commercial National Corporation","Director","W. Grant Martin","Wind River Drill Co./Mgr","Wind River Drill Co","2023","Businessman",".000073%","n/a","n/a"
"Commercial National Corporation","Prin.Securities Holder","Liane J. Locke","n/a","n/a","2023","Homemaker","6.4%","n/a","n/a"
"Commercial National Corporation","VP","Aleck Newby","Ace Disposal/Sole Prop","Ace Disposal","2023","Banker",".000073%","n/a","n/a"
"Commercial National Corporation","VP","Aleck Newby","Vexon Medical/CFO","Vexon Medical","2023","Banker",".000073%","n/a","n/a"
"Commercial National Corporation","VP","Aleck Newby","Nile Valley RV/Co-own.","Nile Valley RV","2023","Banker",".000073%","n/a","n/a"
"Commercial National Corporation","Prin.Securities Holder","Jeffrey Jones","n/a","n/a","2023","Businessman","1.75%","n/a","n/a"
"Commercial National Corporation","Director","Rod Young","HOT Wheels/Ptr","HOT Wheels","2023","Concrete Bus.",".000073%","n/a","n/a"
"Commercial National Corporation","Prin. Securities Holder","William L. Jones Family Trust","n/a","n/a","2023","N/A","11.98%","n/a","n/a"
"Commercial National Corporation","Prin. Securities Holder","Diane Jones,"Trustee"","n/a","n/a","2023","Retired","11.98%**","n/a","n/a"
```
