```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"BCC Bankshares,"Inc."","Dillwyn,"VA"","2023","The Disthene Group,"Inc **"","Common Stock","90",".3411%","n/a"
"BCC Bankshares,"Inc."","Dillwyn VA","2023","Dynasty Trust","Common Stock","1479","5.6055%","n/a"
"BCC Bankshares,"Inc."","Gladstone,"VA"","2023","Erica Vail Dixon","Common Stock","2739.11","10.3813%","n/a"
"BCC Bankshares,"Inc."","Virginia Beach,"VA"","2023","Arch H. Dixon","Common Stock","2844.11","10.7793%","n/a"
"BCC Bankshares,"Inc."","Dillwyn,"VA"","2023","Guy B. Dixon","Common Stock","2744.58","10.4020%","n/a"
"BCC Bankshares,"Inc."","Charlotte Court House,"VA"","2023","Bobby A. Howard","Common Stock","1805","6.8410%","n/a"
"BCC Bankshares,"Inc."","Virginia Beach,"VA"","2023","Curtis D. Colgate","Common Stock","2436.60","9.2348%","n/a"
"BCC Bankshares,"Inc."","Merritt Island,"FL"","2023","Sharon M. Newcomb","Common Stock","3815.60","14.4612%","n/a"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","Percentage of Voting Shares","RSSD_ID","Percentage of Voting Shares in Subsidiaries"
"BCC Bankshares Inc.","n/a","The Disthene Group,"Inc **"","n/a","n/a","2023","NA","0.3411%","n/a","n/a"
"BCC Bankshares Inc.","n/a","Dynasty Trust**","n/a","n/a","2023","NA","5.6055%","n/a","n/a"
"BCC Bankshares Inc.","Principle Securities Holder","Erica Vail Dixon","owner / operator","Simple Soil Solutions","2023","self employed","10.3813%","n/a","n/a"
"BCC Bankshares Inc.","Principle Securities Holder","Arch H. Dixon","n/a","n/a","2023","self employed","10.7793%","n/a","n/a"
"BCC Bankshares Inc.","Director","Guy B. Dixon","President","Kyanite Mining Corp","2023","mining","10.4020%","n/a","n/a"
"BCC Bankshares Inc.","Director","Guy B. Dixon","President","The Disthene Group Inc","2023","mining","10.4020%","n/a","n/a"
"BCC Bankshares Inc.","Director","Guy B. Dixon","President","Blue Rock","2023","mining","10.4020%","n/a","n/a"
"BCC Bankshares Inc.","Director","Stuart B. Fallen","n/a","n/a","2023","retired","1.1749%","n/a","n/a"
"BCC Bankshares Inc.","Director","Russell B. Clark","n/a","n/a","2023","retired","0.6064%","n/a","n/a"
"BCC Bankshares Inc.","Principle Securities Holder","Curtis D. Colgate","n/a","n/a","2023","self employed","9.2348%","n/a","n/a"
"BCC Bankshares Inc.","Principle Securities Holder","Sharon M. Newcomb","n/a","n/a","2023","Investor","14.4612%","n/a","n/a"
"BCC Bankshares Inc.","Board of Directors - Chairman & CEO","Dabney T. P. Gilliam,"Jr"","Board of Directors - Chairman President & CEO","Bank of Charlotte County","2023","NA","0.0531%","n/a","n/a"
"BCC Bankshares Inc.","Director","Jennifer L. Ridgeway","n/a","n/a","2023","retired","0.1895%","n/a","n/a"
"BCC Bankshares Inc.","Director","Kevin E. Sheehan","n/a","n/a","2023","self employed CPA","0.0341%","n/a","n/a"
```
