```csv
SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"First San Benito Bancshares Corporation","San Benito,"USA"","2023","Simmons,"Leonard P."","Common Stock","180095","9.53%","n/a"
"First San Benito Bancshares Corporation","San Benito,"USA"","2023","Simmons,"MD Cecil R."","Common Stock","263335","13.94%","n/a"
"First San Benito Bancshares Corporation","Harlingen,"USA"","2023","Boswell,"Anita"","Common Stock","126169","6.68%","n/a"
"First San Benito Bancshares Corporation","San Benito,"USA"","2023","Frank Russell","Common Stock","100000","5.29%","n/a"
```
```csv
INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","Percentage of Voting Shares","RSSD_ID","Percentage of Voting Shares in Subsidiaries"
"First San Benito Bancshares Corporation","Secretary/ Director","Anita Boswell","EVP & CAO","First Community Bank","2023","n/a","6.68%","n/a","n/a"
"First San Benito Bancshares Corporation","Director","Dr. Francisco Loya","Owner","Oracion Health,"LLC"","2023","Physician","2.38%","n/a","n/a"
"First San Benito Bancshares Corporation","Director","Frank Russell","Owner","281 South","2023","Farming/Real Estate Investments","5.29%","n/a","n/a"
"First San Benito Bancshares Corporation","Director","Frank Russell","Owner","One Percent Mgt","2023","Farming/Real Estate Investments","5.29%","n/a","n/a"
"First San Benito Bancshares Corporation","Director","Frank Russell","Owner","Russell Plantation Gin,"Inc."","2023","Farming/Real Estate Investments","5.29%","n/a","n/a"
"First San Benito Bancshares Corporation","Director","Frank Russell","Owner","J & F Russell","2023","Farming/Real Estate Investments","5.29%","n/a","n/a"
"First San Benito Bancshares Corporation","Director","Frank Russell","Owner","RP II Farming","2023","Farming/Real Estate Investments","5.29%","n/a","n/a"
"First San Benito Bancshares Corporation","Director","Frank Russell","Owner","RP II Sugar","2023","Farming/Real Estate Investments","5.29%","n/a","n/a"
"First San Benito Bancshares Corporation","Director","Frank Russell","Owner","RUSC,"LLC"","2023","Farming/Real Estate Investments","5.29%","n/a","n/a"
"First San Benito Bancshares Corporation","Director","Frank Russell","Owner","Las Cipres","2023","Farming/Real Estate Investments","5.29%","n/a","n/a"
"First San Benito Bancshares Corporation","Director","Frank Russell","Owner","RP Limited Partnership","2023","Farming/Real Estate Investments","5.29%","n/a","n/a"
"First San Benito Bancshares Corporation","Vice President/ Director","Michael Scott","President/Partner","La Avioneta LLC","2023","n/a","3.04%","n/a","n/a"
"First San Benito Bancshares Corporation","Vice President/ Director","Michael Scott","President/Partner","Siempre Juntos,"LLC"","2023","n/a","3.04%","n/a","n/a"
"First San Benito Bancshares Corporation","Director","Cecil R. Simmons,"MD"","n/a","n/a","2023","Retired Physician","13.94%","n/a","n/a"
"First San Benito Bancshares Corporation","Director","Leonard Simmons","VP/Owner","801 Farms,"Inc."","2023","Farming/Real Estate Investments","9.53%","n/a","n/a"
"First San Benito Bancshares Corporation","Director","Leonard Simmons","VP/Owner","Simmons Oak Farms","2023","Farming/Real Estate Investments","9.53%","n/a","n/a"
"First San Benito Bancshares Corporation","Director","Leonard Simmons","VP/Owner","Leonard Simmons Farms","2023","Farming/Real Estate Investments","9.53%","n/a","n/a"
"First San Benito Bancshares Corporation","Director","Leonard Simmons","VP/Owner","Simmons Family Partnership","2023","Farming/Real Estate Investments","9.53%","n/a","n/a"
"First San Benito Bancshares Corporation","n/a","Joaquin Lopez","SVP & COO","First Community Bank","2023","n/a","0.16%","n/a","n/a"
"First San Benito Bancshares Corporation","Treasurer","Carlos Muniz","SVP & CFO","First Community Bank","2023","n/a","0.23%","n/a","n/a"
"First San Benito Bancshares Corporation","n/a","Phil Teinert","SVP & CLO","First Community Bank","2023","n/a","1.03%","n/a","n/a"
"First San Benito Bancshares Corporation","Director","Luis Muzquiz","Owner","Muzquiz and Muzquiz LLC","2023","Manufacturing","1.40%","n/a","n/a"
"First San Benito Bancshares Corporation","Director","Luis Muzquiz","Owner","United Commodities LLC","2023","Manufacturing","1.40%","n/a","n/a"
"First San Benito Bancshares Corporation","n/a","Ricardo Leal","SVP","First Community Bank","2023","n/a","1.10%","n/a","n/a"
"First San Benito Bancshares Corporation","n/a","Brandon Ede","SVP & CTO","First Community Bank","2023","n/a","0.26%","n/a","n/a"
```
