```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Espuela Bank Shares,"Inc."","Lubbock,"TX"","2023","Jim R. Simpson","n/a","n/a","33%","n/a"
"Espuela Bank Shares,"Inc."","Wilson,"TX"","2023","Kevin R. Bass","n/a","n/a","33%","n/a"
"Espuela Bank Shares,"Inc."","Wolfforth,"TX"","2023","Mark A. Pigg","n/a","n/a","33%","n/a"
"Espuela Bank Shares,"Inc."","Spur,"TX"","2023","Dry Lake Financial,"LLC"","Common Stock","8437","53%"
"Espuela Bank Shares,"Inc."","Lubbock,"TX"","2023","Kulbeth Family Partnership,"LLC"","Common Stock","1298","8%"
"Espuela Bank Shares,"Inc."","Abilene,"TX"","2023","KCH Hart Family Partnership,"LLC"","Common Stock","1298","8%"
"Espuela Bank Shares,"Inc."","Levelland,"TX"","2023","L. D. and Judy Bryant Enterprises,"LLC"","Common Stock","1298","8%"
"Espuela Bank Shares,"Inc."","Goldthwaite,"TX"","2023","WCA Family Partnership,"LLC"","Common Stock","1298","8%"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","Percentage of Voting Shares","RSSD_ID","Percentage of Voting Shares in Subsidiaries"
"Espuela Bank Shares,"Inc."","Member/Manager,"CEO & Director"","Kevin R. Bass","President/Chief Executive Officer,"Chairman & Director"","Kevin/Patricia Bass Partnership","2023","Machinist","None","n/a","None"
"Espuela Bank Shares,"Inc."","Member/Manager,"CEO & Director"","Kevin R. Bass","President/Chief Executive Officer,"Chairman & Director"","Depot Hill,"LLC"","2023","Machinist","None","n/a","None"
"Espuela Bank Shares,"Inc."","Member/Manager,"CEO & Director"","Kevin R. Bass","President/Chief Executive Officer,"Chairman & Director"","Ribeye Development Partners,"LLC"","2023","Machinist","None","n/a","None"
"Espuela Bank Shares,"Inc."","Member/Manager,"CEO & Director"","Kevin R. Bass","President/Chief Executive Officer,"Chairman & Director"","3am,"Inc."","2023","Machinist","None","n/a","None"
"Espuela Bank Shares,"Inc."","Chief Information Officer","Jim R. Simpson","Member","Madera Residential,"LLC"","2023","n/a","None","n/a","None"
"Espuela Bank Shares,"Inc."","Chief Information Officer","Jim R. Simpson","Member","Fintech Interactive,"LLC"","2023","n/a","None","n/a","None"
"Espuela Bank Shares,"Inc."","Chief Information Officer","Jim R. Simpson","President","Dry River Media,"LLC"","2023","n/a","None","n/a","None"
"Espuela Bank Shares,"Inc."","Chief Information Officer","Jim R. Simpson","Director","3am,"Inc."","2023","n/a","None","n/a","None"
"Espuela Bank Shares,"Inc."","Digital Banking Manager","Mark Pigg","Manager","Madera Residential,"LLC"","2023","n/a","None","n/a","None"
"Espuela Bank Shares,"Inc."","Digital Banking Manager","Mark Pigg","Manager","Pigg Brothers,"LLC"","2023","n/a","None","n/a","None"
"Espuela Bank Shares,"Inc."","Digital Banking Manager","Mark Pigg","Manager","HMM Production,"LLC"","2023","n/a","None","n/a","None"
"Espuela Bank Shares,"Inc."","Digital Banking Manager","Mark Pigg","Secretary","Ribeye Development Partners","2023","n/a","None","n/a","None"
"Espuela Bank Shares,"Inc."","Digital Banking Manager","Mark Pigg","Director","3am,"Inc."","2023","n/a","None","n/a","None"
"Espuela Bank Shares,"Inc."","Director","Elaine Key","n/a","n/a","2023","Retired Banker","None","n/a","None"
"Espuela Bank Shares,"Inc."","Director","Neal Hindman","n/a","n/a","2023","Retired School Administrator","None","n/a","None"
"Espuela Bank Shares,"Inc."","Director","Gary Key","n/a","n/a","2023","Rancher","None","n/a","None"
"Espuela Bank Shares,"Inc."","Director","Bill Smith","Partner","Key & Key","2023","Rancher","None","n/a","None"
"Espuela Bank Shares,"Inc."","Director","Curtis Fish","President","Espuela Land & Cattle Co.","2023","n/a","None","n/a","None"
"Espuela Bank Shares,"Inc."","Director","Melanie McCormick","n/a","n/a","2023","n/a","None","n/a","None"
"Espuela Bank Shares,"Inc."","Principal Securities Holder","Dry Lake Financial,"LLC"","n/a","n/a","2023","n/a","53%","n/a","None"
```
